epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1190.83,0.7271,1.15689,0.54397,0.89454,0.82079,0.78531,0.84626,0.63267,0.80088,0.76565,0.81358,0.50803,0.75844,1.19942,0.60891,0.92233,0.000495266,0.000495266,0.000495266
73,1207.19,0.71722,1.14053,0.53553,0.89317,0.82002,0.7902,0.84465,0.62966,0.80835,0.76394,0.81472,0.51389,0.77624,1.19487,0.61837,0.91293,0.000478762,0.000478762,0.000478762
74,1224.34,0.72431,1.14119,0.52928,0.89131,0.81489,0.79731,0.84868,0.63238,0.80417,0.77569,0.81514,0.51743,0.76233,1.15348,0.58215,0.90739,0.000462259,0.000462259,0.000462259
75,1240.71,0.7287,1.13825,0.52856,0.89322,0.80166,0.80798,0.84274,0.63499,0.81072,0.76259,0.81629,0.5197,0.7741,1.15407,0.57188,0.92071,0.000445756,0.000445756,0.000445756
76,1258.26,0.72712,1.16665,0.536,0.896,0.79997,0.79841,0.84562,0.63812,0.80688,0.75645,0.81154,0.51481,0.76626,1.17619,0.58224,0.9205,0.000429253,0.000429253,0.000429253
77,1275.42,0.71397,1.11573,0.51904,0.88998,0.79316,0.80922,0.8434,0.63347,0.78787,0.77828,0.81165,0.52003,0.79164,1.16344,0.59606,0.93326,0.000412749,0.000412749,0.000412749
78,1291.85,0.72712,1.13237,0.52209,0.89326,0.78736,0.8047,0.84472,0.63591,0.77385,0.75922,0.80441,0.5055,0.76724,1.14956,0.60049,0.92429,0.000396246,0.000396246,0.000396246
79,1308.21,0.71445,1.10872,0.51517,0.88854,0.79572,0.80352,0.84416,0.63675,0.76896,0.77279,0.80527,0.50712,0.77009,1.15801,0.58536,0.93371,0.000379743,0.000379743,0.000379743
80,1324.88,0.71762,1.11126,0.51812,0.8914,0.79358,0.79571,0.83907,0.63197,0.7834,0.76253,0.80911,0.51038,0.75829,1.16469,0.57471,0.92731,0.000363239,0.000363239,0.000363239
81,1341.18,0.69742,1.08922,0.50459,0.88887,0.79445,0.80092,0.84109,0.63555,0.77515,0.77589,0.81244,0.5132,0.77612,1.16677,0.56544,0.93326,0.000346736,0.000346736,0.000346736
82,1358,0.71063,1.10685,0.51453,0.89129,0.81998,0.77992,0.84286,0.63641,0.80388,0.75709,0.80912,0.51382,0.75525,1.15478,0.57284,0.91552,0.000330233,0.000330233,0.000330233
83,1374.05,0.70615,1.10255,0.50509,0.89321,0.82055,0.78228,0.84784,0.63859,0.80608,0.75184,0.81156,0.50721,0.75562,1.15833,0.5793,0.91498,0.000313729,0.000313729,0.000313729
84,1390.03,0.70244,1.10611,0.50206,0.88681,0.81188,0.8037,0.84934,0.63968,0.80956,0.76093,0.81558,0.51743,0.76874,1.15846,0.5735,0.91882,0.000297226,0.000297226,0.000297226
85,1405.86,0.69188,1.1017,0.49635,0.88303,0.82669,0.78073,0.8463,0.63832,0.81378,0.74982,0.80502,0.50587,0.75884,1.18296,0.56773,0.91434,0.000280723,0.000280723,0.000280723
86,1423.63,0.70946,1.10954,0.50893,0.88853,0.8118,0.7936,0.84699,0.63716,0.8026,0.74737,0.80919,0.50525,0.76245,1.19062,0.55668,0.91202,0.00026422,0.00026422,0.00026422
87,1439.73,0.69527,1.10376,0.50789,0.88426,0.81871,0.80945,0.85029,0.64199,0.79484,0.77996,0.81467,0.51555,0.77252,1.14861,0.54173,0.9181,0.000247716,0.000247716,0.000247716
88,1455.57,0.69452,1.09254,0.50761,0.88437,0.81617,0.8111,0.85066,0.64254,0.80127,0.777,0.82039,0.51592,0.76285,1.14319,0.55246,0.91705,0.000231213,0.000231213,0.000231213
89,1472.17,0.69366,1.09528,0.50312,0.88274,0.81591,0.80787,0.85106,0.64555,0.80716,0.77238,0.81995,0.51909,0.7452,1.13656,0.54802,0.91013,0.00021471,0.00021471,0.00021471
90,1489.09,0.69854,1.09567,0.50514,0.88702,0.8081,0.81207,0.84814,0.64338,0.78396,0.78209,0.80946,0.51037,0.74737,1.16294,0.55244,0.91177,0.000198206,0.000198206,0.000198206
91,1508.14,0.67395,1.10348,0.49056,0.87415,0.79874,0.80052,0.83737,0.631,0.79038,0.7481,0.79989,0.50204,0.76028,1.17082,0.5564,0.91394,0.000181703,0.000181703,0.000181703
92,1520.82,0.66575,1.0987,0.47489,0.86914,0.80837,0.80543,0.84463,0.63486,0.78704,0.773,0.81147,0.51702,0.74817,1.15466,0.55161,0.90853,0.0001652,0.0001652,0.0001652
93,1532.93,0.66581,1.09206,0.47027,0.87417,0.81157,0.80201,0.84769,0.64107,0.79807,0.76129,0.81046,0.51633,0.73732,1.15177,0.53336,0.9034,0.000148696,0.000148696,0.000148696
94,1545.68,0.64005,1.03443,0.45026,0.86702,0.81612,0.80296,0.85103,0.64173,0.80154,0.77373,0.81596,0.51597,0.7395,1.1411,0.53459,0.90573,0.000132193,0.000132193,0.000132193
95,1557.23,0.64687,1.0597,0.45969,0.86556,0.81225,0.80074,0.85106,0.64491,0.79753,0.77204,0.81405,0.51249,0.73996,1.15154,0.53117,0.90575,0.00011569,0.00011569,0.00011569
96,1568.25,0.63988,1.02056,0.44984,0.86709,0.80536,0.80873,0.84912,0.64334,0.80373,0.75549,0.81216,0.51267,0.73457,1.16763,0.5246,0.90499,9.91865e-05,9.91865e-05,9.91865e-05
97,1578.8,0.64947,1.0749,0.45373,0.86829,0.81258,0.80947,0.8513,0.64579,0.80676,0.76649,0.82039,0.52204,0.73874,1.14234,0.52898,0.90622,8.26832e-05,8.26832e-05,8.26832e-05
98,1590.56,0.64546,1.04002,0.44523,0.86154,0.82117,0.80819,0.8515,0.64498,0.80451,0.76554,0.81686,0.51373,0.73476,1.15545,0.52305,0.90735,6.61799e-05,6.61799e-05,6.61799e-05
99,1602.1,0.63308,1.02992,0.4425,0.86004,0.81716,0.80249,0.85214,0.645,0.82117,0.75639,0.82155,0.52002,0.74963,1.1584,0.52144,0.91379,4.96766e-05,4.96766e-05,4.96766e-05
100,1613.5,0.64023,1.05491,0.44594,0.8672,0.82699,0.79713,0.8534,0.6451,0.8088,0.76897,0.82098,0.52094,0.74671,1.15949,0.52226,0.91277,3.31733e-05,3.31733e-05,3.31733e-05
